0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-655437.1176,869500.5951,185744.1254,-16278.92479,44043.80821,57871.93583,404.903443,640.3726898,-777.7371613,43.73007502,-79.55615345,-119.363083,-218.9826263,422.3014869,249.5781014,151.9760115,-7.474426188,11.32154909,-3.677450991,-1.388009672,4.751988006,2.248252875,-0.439891408,-0.217877849,-2.93467418,-4.720809211,-1.973869935,-0.35090642,0.186887864,0.657049712,-1.184985355,-1.905902426,0.498453582,-1.492102314,0.173101265,0.591853165,0.197407955,0.090530353,0.024864164,-0.014721233,0.035431071,-0.158206041,0.097767642,0.139474637,-0.051427257,0.035707821,-0.03189279,0.036404065,0.051650042,0.023340416,-0.022123372,-0.008679584,-0.008515525,0.003457571,-0.019256707,0.007868573,0.010586743,-0.004598066,0.008653433,-0.016611798,-0.008601359,-0.003245076,-0.00143546,-0.002536262
4431042.448,398377.6578,84810.25522,-6162.591534,20446.08038,31610.61394,-235.8407544,-262.3492958,15.3703687,-145.4534345,42.49657998,15.6882061,10.23819545,-16.78133844,-22.06928066,-5.651646608,-16.43450319,0.060041234,1.792234838,15.07703337,3.92624286,-12.03503386,-3.793186597,-1.901151853,-2.690135546,2.804300839,2.381767186,5.651680764,0.117869477,-0.337939246,-1.735859516,-2.779779311,9.035910943,0.925284476,1.929739174,-1.105648288,-0.770461731,0.145907442,0.193354374,-0.015399792,-0.176517505,0.443951424,0.124012715,-0.0055015,-0.063250384,-0.090577414,0.014775363,0.20704085,0.081688075,0.262716693,-0.178559384,-0.120499707,0.291624025,-0.277195742,-0.027706685,0.010326477,-0.13510061,0.100054705,0.034165548,-0.016041056,-0.047099506,0.027639891,0.025067301,-0.006142015
-701186.5898,313019.8646,16515.60078,-15192.15914,20707.14074,33531.16755,-151.6134181,573.6943129,153.6946377,-35.16057779,87.27907168,-130.7173314,-30.91700263,-35.76941662,-9.486302955,-40.80043325,12.56303045,9.738321865,3.831636269,1.908551857,5.340873434,-2.111242477,-1.391244093,1.358514277,-3.01268018,-1.096887274,-8.875727776,2.484952648,5.165081985,-1.338633961,-2.069530254,-0.214861357,1.486570817,0.707450843,0.005186853,0.060818175,0.173994612,-0.08452119,-0.430990876,-0.061208335,0.181798234,-0.377107022,0.308594682,0.041822105,-0.114876254,-0.048311278,-0.157135588,0.131811216,0.006837574,-0.068891233,0.015617907,0.041692686,-0.173633189,0.165598544,-0.006723483,-0.003782508,0.038982515,-0.061165374,-0.008784134,-0.00395471,0.040058789,-0.017037949,-0.087242949,0.024426011
-536700.1801,219546.2431,-162690.0603,-29125.83523,40024.81627,21249.33701,-892.2169287,1041.013232,281.7041361,-142.3939556,36.16915225,40.50606823,91.73738485,-22.2155382,-8.68539015,3.431436558,-2.886543839,-2.14890139,24.79206796,-26.46664965,-3.453409373,-2.595787676,-4.494924978,3.231509979,-2.567117805,-3.651738926,-0.053980643,1.96569518,1.899957055,-5.062349235,-0.634771287,1.427750352,-1.284756949,-0.447980973,-0.804544049,2.061156071,0.883085015,0.776604472,0.529029029,0.029856517,-0.331635628,-0.206564793,0.234782141,0.031433988,0.28029446,0.554829885,-0.191816138,-0.043665108,0.264388069,0.103986225,-0.075667548,0.015454858,0.134830426,-0.081125633,-0.098995775,0.076125573,-0.045876737,0.069903917,-0.027910092,0.015961351,0.122200969,0.070339092,-0.030220053,0.018999019
-678537.307,605276.2224,195164.3567,-11160.88722,8292.314203,27030.3196,-517.8190063,727.7665983,-277.8182757,-147.2201229,-44.19653184,120.703726,-90.0932765,-52.70146634,-5.447432732,-17.17965927,10.10759462,5.001665774,18.35303347,-18.02203287,-4.803318712,-1.885781878,-7.658812657,8.525974409,-2.904303301,-6.455646518,3.998245354,-0.386231155,-0.087221207,3.252649589,-0.113242767,-3.264871461,0.153609954,1.114034796,-1.088453969,0.115521698,0.284280107,-0.144206539,-0.082893739,-0.181962492,0.092604639,-0.227915663,-0.121911102,0.087751457,-0.058518807,0.064664239,-0.072616167,0.142881618,-0.026184562,-0.121235247,-0.089463719,0.111643514,-0.016437434,0.096069294,-0.002793989,0.001064957,0.065128116,0.045812539,-0.02022854,0.007086786,-0.006415683,0.024669393,0.004531729,-0.013706975
-782686.5596,263155.8977,66338.10432,-31595.82576,36240.10271,16255.47338,891.1854766,-516.1593415,262.3314893,-406.3410432,106.915133,13.98955102,-40.92949367,-21.09336926,3.08248812,-0.03473183,4.310749569,-7.797796538,-9.101770876,5.689186906,-4.478058509,1.33755251,4.469564744,-3.863381863,-0.92152777,-1.571936464,2.581153167,-1.591161843,-1.475503574,-1.970724189,-1.960896791,-0.037431497,-1.720439275,-0.488544198,-1.162059076,-1.474409896,0.410961291,-0.601082457,-0.235509176,-0.300554659,-0.929539418,-0.153322275,0.110361624,0.099815061,-0.281953437,0.197190668,-0.041413159,0.095348568,-0.095829484,0.121768713,0.240049505,0.031065764,0.037440888,-0.054948015,0.030124097,0.127920614,-0.145251626,0.046138347,-0.012644936,-0.129642443,-0.000256028,-0.088391259,-0.04019688,0.024873906
-491974.2082,340248.4369,-315145.5056,-18069.56149,37028.85474,34235.48292,745.8578333,-448.1525477,-261.3597383,120.9071444,-57.53528043,73.02554443,-28.84813406,-31.06428862,-21.83700757,-20.90675706,-15.45258462,3.202772772,-7.865988773,3.287166602,7.56157431,-1.303380237,-1.899421787,-1.899832679,2.118598081,-1.963997669,1.007397818,-4.177078185,-0.253829722,-2.43402375,1.16339562,1.215001293,-2.899832993,-0.108095487,0.089037744,1.739287178,0.007087482,0.231088093,0.589983649,0.355870598,0.014745531,0.208682076,0.905742714,0.066753267,-0.300571035,-0.46633248,-0.374133663,0.159695857,0.1996838,0.108925841,-0.064534269,-0.077249621,0.102025684,-0.025056516,-0.161587251,-0.186935753,0.110100274,-0.014295131,0.114952959,-0.065035777,-0.11896718,-0.02423502,0.04662382,-0.097007496
-778215.9096,-19481.41338,176686.8354,-20367.68692,11254.64951,39153.54515,-137.1339147,-191.4332612,798.2181588,-62.82949517,61.24136394,25.05802386,-15.73802167,-24.34397536,-17.33763725,18.01065749,-11.22994518,1.840723428,-2.803152632,6.856742386,5.889197541,6.216493844,4.553179005,-0.458114535,1.188918007,-2.39348194,2.16062971,-2.276856798,-2.039229519,-2.865160561,0.429113591,-0.067744966,-1.101656666,-0.892671921,-1.407179879,-0.972822409,0.060051561,-0.097018873,0.226482597,-0.002544602,0.166569001,-0.050648064,0.34890905,0.270427536,-0.001500667,-0.05711033,-0.303574128,0.168590962,0.203731151,0.14999588,-0.101605182,-0.109359405,-0.098793091,-0.078319934,-0.116230838,0.069292129,0.033701359,-0.039261135,-0.021718535,-0.015766384,-0.02145899,0.013038521,0.039782178,-0.024985641
-671746.9287,986520.0468,-31821.23425,-3179.576108,21570.45639,19240.06956,393.8716368,455.5438284,-562.6612691,1.371847909,9.843112713,-36.0582467,-14.09014931,-99.19536769,-36.40528156,27.95709545,2.120149759,-6.055070629,2.421954469,1.307004742,2.425634214,0.29812354,-4.034009123,2.812154157,-1.517895961,-3.247871729,-6.92686289,0.562960771,5.858723948,-0.720738408,-3.567900313,-0.597452188,3.95639462,-0.944204567,0.353875748,-0.478466889,-0.086305227,-0.172430717,-0.463211349,0.063031416,0.151311412,0.179192626,0.284533656,0.272030525,-0.106705882,0.163744995,-0.178078425,-0.048849854,-0.025908793,-0.294517796,0.178056009,0.056341778,-0.279578428,0.208846711,-0.03807717,-0.024751899,0.107769939,-0.114094115,-0.043599994,-0.055230185,0.006846389,-0.084124513,0.046899898,-0.000817118
-756262.0867,239595.246,512577.5565,-24502.6682,19816.45794,26958.55751,-172.063779,-355.8114156,596.0929647,-4.954612635,37.67027352,24.43860833,36.31222548,-20.59339927,-32.085305,0.915846175,-20.17738585,-1.055047487,-7.270018139,3.461565516,2.909947709,8.007046516,2.060528712,0.142980906,0.375774168,3.879234974,4.530847427,2.052742974,-1.553167472,-1.4064149,-0.847442798,0.282418677,-2.767579808,0.707768348,0.897022469,-0.360229321,-0.180909389,-0.235609711,0.062193773,0.104130572,0.198166775,0.098988918,-0.143504406,-0.213687908,0.195589127,-0.12657168,0.162344512,-0.269363494,-0.013336443,0.139050153,-0.057088972,-0.050503979,-0.154137423,-0.017753825,-0.039488574,0.037097905,0.033246414,-0.054233508,-0.013140403,0.049296391,-0.014848835,0.020232965,0.047188697,-0.029390702
-746051.6464,942931.2883,-39503.41959,7861.394852,-2173.936493,26232.38361,186.9456329,158.4747699,-714.9177152,-210.9888344,22.69101687,10.53063585,68.194711,5.09143775,-56.97688215,-7.090559256,-30.11841334,-5.648655536,-8.028954086,6.157866651,-6.087228996,4.213659262,5.188105341,-1.326254932,2.166952445,-3.589885877,-2.195689584,-0.227098616,-3.567418535,0.991090661,-1.079786354,-2.765760044,-2.302331077,-0.221164729,-2.148428774,-1.221514952,0.078100981,-0.164091876,-0.381982447,-0.416014252,0.382108362,-0.364886383,-0.727663114,0.194091438,-0.071957479,0.302658598,-0.055359718,0.214320196,0.089588815,-0.015328993,-0.169593829,-0.105461125,0.149807735,-0.086737311,0.02528848,-0.034611119,0.025888006,0.058573032,0.039897054,0.11055561,0.04030347,0.023058985,-0.073268659,-0.006820234
-717239.6762,219314.2695,-66654.61146,-11052.46617,5893.261111,36421.81035,38.98480453,239.8082487,186.912388,-166.8769941,53.04381851,42.07822968,56.23551472,-0.566966786,-29.52686858,5.146235983,46.61932964,-2.356365558,-5.674626849,7.96047126,-0.991537439,-3.873021638,2.666007408,-0.76216943,1.524038393,0.539209447,0.848659026,0.035462785,-2.974329065,-0.26654377,-2.693671959,-2.11495225,-0.524392826,-0.013959303,-1.575680054,0.62390265,-0.593834977,0.328927024,0.46556523,0.086162734,-0.047961496,0.02881807,0.088009475,0.590798111,-0.109339628,0.018806827,-0.327322001,0.170233562,-0.118138438,-0.086105961,-0.086911037,0.024014102,-0.052559245,-0.101577685,0.195698606,-0.075282215,0.106756816,-0.102786643,0.000436844,0.105987543,0.018118485,-0.005846616,-0.020264366,0.060511793
-781074.3268,147809.3349,123822.67,72877.03044,38917.41255,27704.23424,-202.820916,-132.140406,538.0821848,-201.4739695,-63.75520575,1.288495536,35.83776294,-22.02736484,-2.038921352,3.718400994,6.741281588,1.155811567,1.140840624,-13.59186143,-7.805785389,0.07774933,5.469207494,-4.780509718,0.700686842,-0.248901089,-4.861568263,0.710831163,-5.202018415,14.33849453,3.047014351,10.52451932,2.274429064,-2.325744753,-0.087416577,0.647440739,-0.071131368,-0.007726829,0.077973317,0.170223318,-0.044604926,-0.012465591,0.199762897,0.009410551,-0.095087445,-0.036810776,-0.108114549,0.088671621,0.065635915,-0.017065192,-0.034727857,-0.013822091,-0.040486079,-0.038800683,-0.014824656,0.004080648,-0.029822599,0.014010495,-0.019992732,0.001943788,0.004627807,-0.008447414,-0.006966005,0.000184926
