0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-657741.2575,854155.8131,147873.5363,-15627.98679,-41293.51026,60155.87588,411.7675387,651.3665962,-770.9031963,38.36769258,-79.44941681,-155.3763008,194.5498084,426.110012,249.5106415,155.5767802,7.004601103,11.66286484,-3.486144488,-0.658955637,4.997317605,2.262375752,0.142212391,-0.507360781,-3.475975476,-5.517996798,-1.988468579,-0.605688984,0.197497038,1.002557229,-1.573822355,-2.001473389,0.511796244,-1.705810063,0.248757751,0.550553647,0.199914187,0.082836416,0.05014548,0.005018815,0.039337744,-0.212253532,0.166065505,0.198766982,-0.067122018,-0.0276792,-0.084747361,0.062440664,0.068866699,0.030050761,-0.029068249,-0.013073842,-0.006077951,0.001839932,-0.020047566,-0.016545999,-0.012824028,-0.006809449,0.009833629,-0.020176916,-0.010206769,-0.005011364,0.001460735,-0.002160504
4428821.89,382326.2688,54827.60241,-5466.264825,-18410.42842,33036.58757,-238.2090463,-256.1191019,21.9123832,-150.9821138,45.33472309,16.0375929,-4.079879141,-18.15431703,-21.19777815,-3.051603789,-15.15398195,0.980954033,3.47545729,14.14671607,4.385066936,-11.95305326,-3.17813849,-2.477381748,-2.869959268,1.495136624,2.054926253,5.578915933,-0.281734268,-0.147098599,-2.285464132,-2.795131309,9.165498826,1.162659331,1.972494913,-1.265628788,-0.81071371,0.159455078,0.210868317,-0.010322258,-0.167073744,0.42849031,0.162619325,0.044884033,-0.087370938,0.06775821,-0.031668638,0.228794497,0.103577902,0.278725227,-0.188216411,-0.140543927,0.211583554,-0.331078455,-0.051372821,-0.018563842,0.152420502,0.094413104,0.04665175,-0.020695062,-0.04650363,0.031779119,-0.019702238,-0.006015492
-703386.9972,295057.975,-12524.94403,-14752.43296,-18871.15923,34951.97127,-144.5600459,583.6727066,160.7155585,-37.43782507,87.15862419,-134.9308958,9.153122035,-34.92913674,-7.415686698,-40.30173272,7.797249332,9.725097878,3.730655521,1.089528873,5.283645025,-2.319729988,-1.66306564,1.257890377,-3.340344635,-1.35829108,-8.912781262,2.59722375,5.200904426,-1.340396447,-2.342588871,-0.085809608,1.506143762,0.7079957,-0.162541374,0.072713178,0.149614692,-0.123851603,-0.413061096,-0.011424623,0.185510109,-0.403591654,0.371311634,0.070041423,-0.122602943,0.045069506,-0.215517596,0.139840397,0.016507337,-0.072949399,0.018239694,0.052498526,-0.128072397,0.197716174,0.000132767,-0.005133433,-0.045301491,-0.057923032,-0.019001013,-0.003649602,0.042258115,-0.029053953,0.083237457,0.024374856
-538869.2648,198795.0549,-190165.7206,-28845.6508,-38702.13047,22905.05225,-898.4626201,1066.18915,291.2576158,-143.4122522,37.58541562,56.583277,-81.92139423,-21.833362,-8.446869792,5.407924989,-3.163997064,-2.123709027,20.83504981,-29.96800091,-3.425071528,-2.88829048,-4.653042261,2.83217725,-3.005354189,-4.09364375,-0.060261768,2.018257142,1.820053671,-4.993484855,-0.980071027,1.289576138,-1.260156664,-0.802604535,-0.623162099,2.154557711,0.859409385,0.766946892,0.573160944,0.070771457,-0.323691491,-0.262280538,0.257557901,0.116501393,0.264054972,-0.55884487,-0.233696198,-0.038491122,0.25134456,0.102840096,-0.081794796,-0.003197444,0.112056622,-0.113824997,-0.071887853,-0.105831036,0.038095381,0.067616975,-0.027982065,0.01117768,0.122908395,0.059775197,0.041769699,0.012180257
-680800.9917,590107.9432,161465.6285,-10555.89437,-6326.578571,28434.22892,-507.5682618,741.1412679,-268.3369773,-152.6371242,-43.49677745,102.1761876,114.120814,-52.0959527,-3.708404705,-16.68793721,7.699333262,5.05536424,15.36591111,-20.75671961,-4.914549388,-2.122902135,-8.113597176,7.808943909,-3.472733736,-6.918488487,4.148722205,-0.411480311,0.042530016,3.387803696,-0.252318571,-3.111856136,0.205404302,1.129142423,-1.343053508,0.233723911,0.266557816,-0.167234619,-0.077107467,-0.157322998,0.089673876,-0.28364775,-0.028695971,0.16209665,-0.06942565,-0.065081263,-0.121461751,0.157726542,-0.01718134,-0.116194663,-0.086238513,0.11568327,0.017511756,0.102757084,0.00451792,-0.007158914,-0.060248508,0.051528557,-0.012193861,0.003959464,-0.01186982,0.019840705,-0.001608288,-0.016147491
-784882.3292,245985.6038,38126.30101,-31128.35094,-34765.8116,18103.66849,874.9698379,-495.5564438,276.7052771,-413.2777832,106.7951635,3.693609798,48.52955907,-20.43707622,3.692688521,-1.640851112,4.505317643,-8.077288521,-7.739734435,7.321186821,-4.328731228,1.54784311,5.080881816,-3.637475929,-1.164197548,-1.778351833,2.489428897,-1.654593533,-1.587740516,-1.65240091,-2.256590774,-0.114625143,-1.70175973,-0.830407345,-1.413563678,-1.300248168,0.424560411,-0.60513252,-0.198876683,-0.234619284,-0.938786568,-0.224382642,0.22090098,0.193999171,-0.298096898,-0.197664723,-0.039088292,0.120113453,-0.1067054,0.124857995,0.236646936,0.022716239,0.018352066,-0.074488614,0.054730471,-0.103711016,0.152528561,0.038839136,-0.010899454,-0.133357434,0.000125869,-0.090344705,0.030803621,0.031752161
-494150.2032,317070.6524,-344537.5236,-17903.11763,-35548.08085,35657.92174,739.9412716,-441.6764034,-259.2075197,117.7388601,-55.27804899,66.57214325,43.49531114,-30.57854366,-21.07409676,-18.30484594,-16.06475974,3.269203473,-7.483559373,4.350922887,7.911029307,-1.363401715,-1.702580079,-2.013743449,1.855481825,-2.589784808,0.879889453,-4.211173025,-0.393785987,-2.606657569,1.119549527,1.11429537,-2.819505497,-0.304161948,-0.058351395,1.644510248,-0.088815582,0.17104555,0.62566117,0.370754327,0.066780355,0.221998248,0.94187866,0.034705719,-0.296925931,0.44329033,-0.405995473,0.111752552,0.189800332,0.134025395,-0.072389605,-0.084446862,0.09737473,-0.034589016,-0.212908314,0.114821884,-0.126908019,-0.021327744,0.122804108,-0.065838587,-0.119739642,-0.018201805,-0.054363985,-0.09530011
-780375.9571,-34881.81673,152871.3576,-19810.67709,-9191.743946,40465.36079,-126.3904745,-186.8517746,806.7034176,-63.83360425,62.34690467,21.58609071,21.09742473,-23.55678159,-16.0996698,19.51952535,-7.099760819,2.070208231,-1.333785636,7.444102036,6.258714609,6.114937012,4.869718985,-0.246250357,0.958946251,-2.848102844,2.06493472,-2.344196502,-2.15854391,-2.980180648,0.413078229,-0.106829617,-0.98188047,-1.179398546,-1.734175888,-0.85333072,0.093084286,-0.096613912,0.239946319,-0.010487369,0.168958754,-0.064985402,0.394026344,0.26994848,-0.00076455,0.10741705,-0.367635453,0.155784095,0.204615727,0.14873199,-0.105244954,-0.109472514,-0.109581376,-0.048890523,-0.088973313,-0.099293719,-0.042770932,-0.040104899,-0.022895041,-0.016985687,-0.021239371,0.020973507,-0.036183795,-0.021954071
-674053.2252,967716.1828,-71509.62557,-2750.260649,-19948.72507,20774.81826,392.4286727,470.9046669,-555.7723673,-6.737413585,10.70418833,-39.75791531,14.09525279,-99.41204367,-35.86240059,29.69631656,4.101790163,-6.248701809,2.515445192,0.895098285,2.334004492,0.164100843,-4.214391118,2.457037066,-1.956649377,-3.724369808,-6.866960946,0.60003989,5.821915976,-0.595902826,-3.948523941,-0.459191664,3.908392337,-0.965091546,0.369992169,-0.500100684,-0.113246397,-0.214893827,-0.451456107,0.105823765,0.154098029,0.154248608,0.365962135,0.30741923,-0.106265846,-0.105080844,-0.206779858,-0.019488176,-0.041916515,-0.308853425,0.166431265,0.070282585,-0.214669742,0.257885748,-0.027757544,0.013526232,-0.135346793,-0.110449356,-0.060380523,-0.0565014,0.006278336,-0.075161585,-0.056202241,0.005940132
-758492.6243,229489.783,484646.831,-23643.76502,-17578.70564,28925.44538,-174.0709328,-335.701319,613.4060248,-11.38233885,40.35246659,29.05081218,-25.65417545,-21.4832038,-31.56488536,4.824920699,-19.45621608,-0.695759428,-6.325687567,4.718095893,3.122165489,7.839596053,2.116277302,0.366997226,0.346177372,3.198865816,4.185543706,2.167281605,-1.917983783,-1.255897228,-1.250332011,0.275858793,-2.641088366,0.684470506,0.435388828,-0.518045845,-0.170701768,-0.226913071,0.071210991,0.067947663,0.204962003,0.120075804,-0.157626504,-0.223981028,0.171254492,0.092588771,0.14498834,-0.23714329,0.016283022,0.141746855,-0.069809861,-0.053425231,-0.154411538,0.009738834,-0.031033629,-0.049854915,-0.040199032,-0.055767286,-0.015697182,0.044107377,-0.016500513,0.026634985,-0.044687964,-0.028193059
